step,section,role,target,action,evidence
5,MissedCase,Observation,META 2025-04-07 OBS-D,Record formal-missed OBS candidate,risk=no_repair; duplicateFormalCount=0; fwd126=0.383264; adverse126=-0.061191; bottom=75; RS=60
5,MissedCase,Observation,UNH 2025-04-17 OBS-S,Record formal-missed OBS candidate,risk=no_repair; duplicateFormalCount=0; fwd126=-0.204164; adverse126=-0.472687; bottom=74; RS=45
5,MissedCase,Observation,QQQ 2026-03-30 OBS-S,Record formal-missed OBS candidate,risk=no_repair; duplicateFormalCount=0; fwd126=; adverse126=0.000000; bottom=72; RS=51
6,CandidateRule,Validation,OBS/RS promotion,Open separate validation plan before promotion,current review is observation-only
7,ValidationGate,Validation,baselineName,Fail,btm_dw21_dt8_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry78_mbo0_rs63_wmomentum_reset
7,ValidationGate,Validation,fullPool,Pass,symbols=21 sample=FULL_POOL
7,ValidationGate,Validation,entryThreshold,Fail,threshold=78
7,ValidationGate,Validation,formalSignalCap,Fail,signals=124 limit=40
7,ValidationGate,Validation,duplicateFormal,Pass,duplicateFormalCount=0
7,ValidationGate,Validation,qqq2022Q4Coverage,Pass,"2022-10-11, 2022-11-03, 2022-12-28"
7,ValidationGate,Validation,qqq2026MarchCoverage,Pass,2026-03-30
8,PromotionPrecondition,Validation,OBS/RS promotion,Required,OBS/RS ablation against frozen MB baseline
8,PromotionPrecondition,Validation,OBS/RS promotion,Required,recent validation keeps formal signal count controlled
8,PromotionPrecondition,Validation,OBS/RS promotion,Required,sample-out validation before formal promotion
8,PromotionPrecondition,Validation,OBS/RS promotion,Required,Pine parity check before operator use
9,RetiredArtifact,Validation,bottom_signal_results_dual_track_rs.json,Pass,absent
9,RetiredArtifact,Validation,bottom_signal_report_dual_track_rs.md,Pass,absent
10,ValidationCommand,Operator,minimum,Run,.venv\Scripts\python.exe -m unittest tests.test_bottom_signal_search
10,ValidationCommand,Operator,repo-wide,Run,".venv\Scripts\python.exe -m unittest discover -s tests -p ""test*.py"""
10,ValidationCommand,Operator,minimum,Run,.venv\Scripts\python.exe -m py_compile investigations\bottom_signal_model.py investigations\bottom_signal_paths.py investigations\bottom_signal_search.py tests\test_bottom_signal_search.py
10,ValidationCommand,Operator,minimum,Run,.venv\Scripts\python.exe -m json.tool strategy_catalog\bottom_signal_formal\bottom_signal_results.json > $null
10,ValidationCommand,Operator,minimum,Run,git diff --check
10,ValidationCommand,Operator,minimum,Run,git diff --name-only -- config.py prepare.py run.py versions
10,ValidationCommand,Operator,full-search,Run only after search logic/config changes,.venv\Scripts\python.exe investigations\bottom_signal_search.py --symbol all --max-configs 720 --workers 4
10,ValidationCommand,Operator,full-search,Run only after search logic/config changes,.venv\Scripts\python.exe investigations\bottom_signal_search.py --symbol all --refresh-observation-search
11,MainArtifact,Validation,bottom_signal_search.py,Pass,script exists
11,MainArtifact,Validation,bottom_signal_config.json,Pass,config exists
11,MainArtifact,Validation,bottom_signal_results.json,Pass,results exists
11,MainArtifact,Validation,bottom_signal_report.md,Pass,report exists
11,MainArtifact,Validation,bottom_signal_observation_report.md,Pass,observation-report exists
12,PlanStepStatus,Validation,1 Baseline confirmation,Done,btm_dw21_dt8_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry78_mbo0_rs63_wmomentum_reset; symbols=21; signals=124
12,PlanStepStatus,Validation,2 Recent sample review,Done,mature=18; status=Pass
12,PlanStepStatus,Validation,3 OBS candidate segmentation,Done,signals=49; riskBuckets=3
12,PlanStepStatus,Validation,4 RS watchlist review,Done,monitor=0; review=8; skip=4
12,PlanStepStatus,Validation,5 Formal-missed OBS cases,Done,cases=49
12,PlanStepStatus,Validation,6 Promotion validation plan,Done,preconditions=4
