configName,signalCount,avgFwd126,winRate126,coveredValidationWindowCount,formal2022Q4,formal2026March,diagnostic2022Q4,diagnostic2026March
btm_dw63_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol50_gap42_entry88_mbo3_rs42_wbalanced,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw126_dt35_r10_st14x3_m8x21x5_sma50_atr10_vol50_gap42_entry88_mbo3_rs42_wbalanced,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw252_dt35_r14_st21x5_m12x26x9_sma50_atr10_vol50_gap42_entry88_mbo3_rs42_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt8_r21_st9x3_m12x26x9_sma100_atr10_vol10_gap42_entry88_mbo3_rs42_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap42_entry88_mbo3_rs42_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt8_r10_st21x5_m16x35x9_sma100_atr14_vol10_gap63_entry90_mbo3_rs42_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt8_r14_st9x3_m8x21x5_sma150_atr14_vol10_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt8_r21_st14x3_m8x21x5_sma150_atr14_vol10_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt12_r7_st21x5_m12x26x9_sma150_atr20_vol20_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt12_r14_st14x3_m16x35x9_sma200_atr20_vol20_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt12_r21_st21x5_m16x35x9_sma200_atr20_vol20_gap63_entry90_mbo3_rs42_wdeep_repair,0,0.0,0.0,0,0,0,1,0
btm_dw252_dt12_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap21_entry90_mbo3_rs63_wstructure_retest,0,0.0,0.0,0,0,0,1,0
btm_dw21_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol50_gap21_entry90_mbo6_rs63_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt18_r14_st21x5_m12x26x9_sma50_atr10_vol50_gap21_entry90_mbo6_rs63_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt18_r21_st9x3_m12x26x9_sma100_atr10_vol50_gap21_entry90_mbo6_rs63_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt18_r7_st14x3_m16x35x9_sma100_atr14_vol50_gap21_entry82_mbo6_rs63_wstructure_retest,1,0.04087189477672326,1.0,0,0,0,1,0
btm_dw252_dt18_r10_st21x5_m16x35x9_sma100_atr14_vol50_gap21_entry82_mbo6_rs63_wstructure_retest,1,0.04087189477672326,1.0,0,0,0,1,0
btm_dw21_dt25_r14_st9x3_m8x21x5_sma150_atr14_vol10_gap21_entry82_mbo6_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt25_r21_st14x3_m8x21x5_sma150_atr14_vol10_gap42_entry82_mbo6_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt25_r7_st21x5_m12x26x9_sma150_atr20_vol10_gap42_entry82_mbo6_rs63_wmomentum_reset,1,-0.1564135294228569,0.0,0,0,0,0,0
btm_dw126_dt25_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap42_entry82_mbo6_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt25_r14_st14x3_m16x35x9_sma200_atr20_vol10_gap42_entry82_mbo6_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt35_r21_st21x5_m16x35x9_sma200_atr20_vol20_gap42_entry82_mbo6_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap42_entry82_mbo6_rs126_wbalanced,3,0.5340862698043614,0.6666666666666666,0,0,0,0,0
btm_dw63_dt35_r10_st14x3_m8x21x5_sma50_atr10_vol20_gap42_entry82_mbo6_rs126_wbalanced,4,0.41078267604745183,0.75,0,0,0,0,0
btm_dw126_dt35_r14_st21x5_m12x26x9_sma50_atr10_vol20_gap63_entry82_mbo6_rs126_wbalanced,1,0.44356335777215694,1.0,0,0,0,0,0
btm_dw252_dt35_r21_st9x3_m12x26x9_sma100_atr10_vol20_gap63_entry85_mbo6_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol50_gap63_entry85_mbo6_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt8_r10_st21x5_m16x35x9_sma100_atr14_vol50_gap63_entry85_mbo6_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt8_r14_st9x3_m8x21x5_sma150_atr14_vol50_gap63_entry85_mbo0_rs126_wdeep_repair,7,0.49894260097537124,0.7142857142857143,0,0,0,0,0
btm_dw126_dt8_r21_st14x3_m8x21x5_sma150_atr14_vol50_gap63_entry85_mbo0_rs126_wdeep_repair,6,0.6094019617855295,0.8333333333333334,0,0,0,0,0
btm_dw252_dt8_r7_st21x5_m12x26x9_sma150_atr20_vol50_gap63_entry85_mbo0_rs126_wdeep_repair,4,0.34867660696585767,0.75,0,0,0,0,0
btm_dw21_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry85_mbo0_rs126_wdeep_repair,1,-0.1564135294228569,0.0,0,0,0,0,0
btm_dw42_dt12_r14_st14x3_m16x35x9_sma200_atr20_vol10_gap21_entry85_mbo0_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt12_r21_st21x5_m16x35x9_sma200_atr20_vol10_gap21_entry85_mbo0_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt12_r7_st9x3_m8x21x5_sma50_atr10_vol10_gap21_entry85_mbo0_rs42_wstructure_retest,9,0.6831204519951203,0.6666666666666666,0,0,0,1,0
btm_dw252_dt12_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap21_entry85_mbo0_rs42_wstructure_retest,11,0.7748647799615648,0.7272727272727273,0,0,0,1,0
